cell_name,wbbt_id,wbbt_label,confidence,note
HOA,WBbt:0004762,HOA,high,WBBT label match (Cook 2019 male-specific/new cell)
HOB,WBbt:0004761,HOB,high,WBBT label match (Cook 2019 male-specific/new cell)
MCML,WBbt:0008613,MCML,high,WBBT label match (Cook 2019 male-specific/new cell)
MCMR,WBbt:0008614,MCMR,high,WBBT label match (Cook 2019 male-specific/new cell)
PCAL,WBbt:0004408,PCAL,high,WBBT label match (Cook 2019 male-specific/new cell)
PCAR,WBbt:0004407,PCAR,high,WBBT label match (Cook 2019 male-specific/new cell)
PCBL,WBbt:0004406,PCBL,high,WBBT label match (Cook 2019 male-specific/new cell)
PCBR,WBbt:0004405,PCBR,high,WBBT label match (Cook 2019 male-specific/new cell)
PCCL,WBbt:0004404,PCCL,high,WBBT label match (Cook 2019 male-specific/new cell)
PCCR,WBbt:0004403,PCCR,high,WBBT label match (Cook 2019 male-specific/new cell)
PDC,WBbt:0004384,PDC,high,WBBT label match (Cook 2019 male-specific/new cell)
PGA,WBbt:0004367,PGA,high,WBBT label match (Cook 2019 male-specific/new cell)
PHDL,WBbt:0008631,PHDL,high,WBBT label match (Cook 2019 male-specific/new cell)
PHDR,WBbt:0008632,PHDR,high,WBBT label match (Cook 2019 male-specific/new cell)
PVV,WBbt:0004068,PVV,high,WBBT label match (Cook 2019 male-specific/new cell)
PVX,WBbt:0004063,PVX,high,WBBT label match (Cook 2019 male-specific/new cell)
PVY,WBbt:0004062,PVY,high,WBBT label match (Cook 2019 male-specific/new cell)
PVZ,WBbt:0004058,PVZ,high,WBBT label match (Cook 2019 male-specific/new cell)
R1AL,WBbt:0004052,R1AL,high,WBBT label match (Cook 2019 male-specific/new cell)
R1AR,WBbt:0004050,R1AR,high,WBBT label match (Cook 2019 male-specific/new cell)
R1BL,WBbt:0004048,R1BL,high,WBBT label match (Cook 2019 male-specific/new cell)
R1BR,WBbt:0004046,R1BR,high,WBBT label match (Cook 2019 male-specific/new cell)
R1shL,WBbt:0004044,R1stL,high,Cook ray sheath cell; maps to WBbt R1stL (Emmons/WormWiring naming: sh=st).
R1shR,WBbt:0004043,R1stR,high,Cook ray sheath cell; maps to WBbt R1stR (Emmons/WormWiring naming: sh=st). NOTE: Cook also has R1stR grounded to the same term (shares anatomy).
