neurotransmitter,description,gene,detection_method,localization,references
serotonin,Pterin Carbinolamine Dehydratase (PCBD),pcbd-1 16,Reporter transgenics,Various unidentified neurons and non-neuronal cells; see also Dopaminergic neurons,"Zhang et al., 2014 ; Loer et al., 2015"
serotonin,Quinoid Dihydropterin Reductase (QDPR),qdpr-1 16,Reporter transgenics,"NSM , ADF , other unidentified cells; see also Dopaminergic neurons","Zhang et al., 2014 ; Loer et al., 2015"
serotonin,Vesicular Monoamine Transporter (VMAT),cat-1,Antibody 19,"NSM , ADF , AIM , male VNC & tail cells; see also Dopaminergic neurons","Duerr et al., 1999"
serotonin,VMAT,cat-1,Reporter transgenics,"NSM , ADF , AIM 40 , RIH , HSN (h), VC4-5 (h), CP1-6 (m), RPAG(m) 36 , R1B (m), R3B (m), R9B (m); see also DA , OA and TA neurons","Duerr et al., 1999 ; Nurrish et al., 1999 ; Duerr et al., 2001 ; Flames & Hobert, 2009"
serotonin,VMAT,cat-1,Reporter transgenics,"NSM , ADF , RIH , HSN (h), CP1-6 (m), PGA (m, weak), PVW (male only , weak) 37 , R1B (m), R3B (m), R9B (m); see also DA , OA and TA neurons","Serrano-Saiz et al., 2017"
serotonin,VMAT,cat-1,Uptake assay 21,NA - heterologous expression (CV-1 cells),"Duerr et al., 1999"
serotonin,Serotonin Reuptake Transporter (SERT),mod-5,Reporter transgenics,"NSM , ADF , AIM , RIH , other neuronal and non-neuronal cells","Jafari et al., 2011 ; Barrière et al., 2014"
serotonin,SERT,mod-5,Antibody,"NSM , AIM","Jafari et al., 2011"
serotonin,SERT,mod-5,Uptake assay 41,NA - heterologous expression (HEK293 cells),"Ranganathan et al., 2001"
serotonin,Serotonin N-Acetyltransferase (SNAT),anat-1 ?,Enzymatic assay,Whole animal,"Muimo & Isaacs, 1993"
serotonin,Arylalkylamine N-Acetyltransferase (AA-NAT),anat-1 ? 42,Enzymatic assay,Whole animal,"Migliori et al., 2012"
serotonin,Monoamine Oxidase (MAO),amx-1 25,Reporter transgenics,"~30 head and tail neurons including ASJ , IL2 , other amphid neurons; PHB , 3 other tail neurons","Filkin et al., 2007 ; Kaushal 2008"
serotonin,MAO,amx-2 25,Reporter transgenics,"Intestine , neurons","Filkin et al., 2007"
serotonin,MAO,amx-2 25,Reporter transgenics,"Pharynx , Intestine , vulval cells , rectal epithelial cells","Schmid et al., 2015"
serotonin,MAO,amx-2 25,Reporter transgenics,"Pharyngeal muscle , intestine , NSM , other head neurons, vulval HSN (h), anus","Wang et al., 2017"
serotonin,Aldehyde Dehydrogenase (ALDH),alh-1 26,Reporter transgenics,"Nervous system, including head neurons, neurons along body, PVT , intestine , head mesodermal cell , rectal gland cells, etc.","McKay et al., 2003 27"
GABA,GABA,NA,Antibody,"AVL , DD1-6 , DVB , RIS , RME , VD1-13","McIntire et al., 1993b"
GABA,GABA,NA,Antibody,"ALA 44 , AVA 45 , AVB 45 , AVJ 45 , AVL , DD1-6 , DVB , EF1-4 (m), R2A (m), R6A (m), R9B (m), RIB , RIS , RME , SMDD/V 45 , VD1-13 , GLR , hmc , muscle","Gendrel et al., 2016"
GABA,GABA,NA,Antibody,"CP9 (m), EF1-4 (m), R2A (m, weak), R6A (m), R9B (m, weak)","Gendrel et al., 2016 ; Serrano-Saiz et al., 2017"
GABA,Glutamatic Acid Decarboxylase (GAD),unc-25,Reporter transgenics,"AVL , DD1-6 , DVB , RIS , RME , VD1-13","Jin et al., 1999"
GABA,GAD,unc-25,Reporter transgenics (CRISPR-endogenous locus 3 ),"AVL , DD1-6 , DVB , EF1-4 (m), RIB , RIS , RME , VD1-13","Gendrel et al., 2016"
GABA,GAD,unc-25,Reporter transgenics (CRISPR-endogenous locus 3 ),CP9 (m),"Serrano-Saiz et al., 2017"
GABA,Vesicular GABA Transporter (VGAT),unc-47,Reporter transgenics,"AVL , DD1-6 , DVB , RIS , RME , VD1-13","McIntire et al., 1997"
GABA,VGAT,unc-47,Reporter transgenics,"AVL , DD1-6 , DVB , RIS , RME , SDQ (weak), SIAD , VD1-13","Barrière & Ruvinsky, 2014"
GABA,VGAT,unc-47,Reporter transgenics (fosmid 3 ),"AVL , DD1-6 , DVB , EF1-4 (m), R6A (m), RIB , RIS , RME , SMDD/V , VD1-13","Gendrel et al., 2016"
GABA,VGAT,unc-47,Reporter transgenics (fosmid 3 ),"CP9 (m), EF1-4 (m), R2A (m), R6A (m), R9B (m); Sex-shared cells with adult male only expression: ADF , AS10 or DA7 , AS11 , PDB , PHC , PVN ; Loses expression in adult male: PQR ; Cells that express unc-47 reporter but lack GABA-IR (possibly Glycinergic?): CA1-4 (m) 34 , CEM (m), CP1-6 (m), CP8 (m), DVE (m), DVF (m), HOA (m), PDC (m), PGA (m), PVX (m), PVY (m), PVZ (m), R1A (m), R3A (m), R3B (m), R5A (m), R5B (m), R8A (m), R9B (m), PCB , PCC , SPC (m)","Serrano-Saiz et al., 2017"
GABA,'VGAT Chaperone' 46,unc-46,Reporter transgenics,"AVL , DD1-6 , DVB , RIS , RME , VD1-13 , plus a few  unidentified neurons","Schuske et al., 2007"
GABA,'VGAT Chaperone' 46,unc-46,Reporter transgenics,"AVL , DD1-6 , DVB , RIS , RME , SIAD , VD1-13","Barrière & Ruvinsky, 2014"
GABA,'VGAT Chaperone' 46,unc-46,Reporter transgenics (fosmid 3 ),"AVL , DD1-6 , DVB , EF1-4 (m), R9B (m) 47 , RIB , RIS , RME , VD1-13","Gendrel et al., 2016"
GABA,GABA  Transporter (GAT),snf-11,Reporter transgenics,"AVL , [ DD1-6 ,] 48 DVB ,  [ PVQ ,] 48 RIS , RME , [ VD1-13 ] 48","Jiang et al., 2005"
GABA,GAT,snf-11,"Reporter transgenics, antibody","AVL , DVB , RID , RIS , RME , 2 neurons in pharynx , 2 neurons in RVG , muscles (body wall, anal, uterine) 48","Mullen et al., 2006"
GABA,GAT,snf-11,Reporter transgenics (fosmid 3 ),"ALA 44 , AVF , AVL , RIB , RME , VD12 (m) 49 , GLR , hmc , muscle","Gendrel et al., 2016"
GABA,GAT,snf-11,Reporter transgenics (fosmid 3 ),CP9 (m) 49,"Serrano-Saiz et al., 2017"
GABA,GAT,snf-11,Uptake assay 50,NA - heterologous expression (HRPE cells and Xenopus oocytes),"Jiang et al., 2005"
GABA,GAT,snf-11,Uptake assay 50,NA - heterologous expression ( Xenopus oocyte),"Mullen et al., 2006"
GABA,GABA Transaminase (GABA-T),gta-1,Reporter transgenics,"Body wall muscle, head neurons, unidentified cells","McKay et al., 2003 27 ; Meissner et al., 2011"
GABA,GABA Transaminase (GABA-T),gta-1,Reporter transgenics (fosmid 3 ),Ubiquitous 51,"Gendrel et al., 2016"
GABA,Succinic Semialdehyde Dehydrogenase (SSADH),alh-7 26,Reporter transgenics,"Intestine , rectal gland cells, hypodermis , nervous system, head neurons","McKay et al., 2003 27"
glutamate,Vesicular Glutamate Transporter (VGluT),eat-4 52,Reporter transgenics,"M3 , I5 , ADA , ALM , ASH , ASK , AUA , AVM , FLP , IL1 , LUA , OLL , OLQ , PLM , PVD , PVR","Lee et al., 1999 ; Mano et al., 2007"
glutamate,VGluT,eat-4 52,Reporter transgenics,"Many head neurons, including ADL , AFD , AIB , AIM , AIZ , ASH , ASE , ASG , ASK , AUA , AVA , AVE , AWB , AWC , RIA , etc.","Ohnishi et al., 2011"
glutamate,VGluT,eat-4 52,Reporter transgenics (fosmid 3 ),"M3 , MI , I2 , I5 , ADA , ADL , AFD , AIB , AIM , AIZ , ALM , AQR , ASE , ASG , ASH , ASK , AUA , AVM , AWC , BAG , DVC , FLP , IL1 , LUA , OLL , OLQ , PHA , PHB , PHC , PLM , PQR , PVD , PVQ , PVR , RIA , RIG , RIM , URY , 20 more male-specific cells (see below)","Serrano-Saiz et al., 2013"
glutamate,VGluT,eat-4 52,Reporter transgenics (fosmid 3 ),"Male-specific cells only: CP0 (m, weak), CP5 (m, weak), CP6 (m, weak), CP7 (m), HOA (m), PCA (m), PVV (m), R2B (m, weak), R5A (m), R6B (m, weak), R9A (m, weak)","Serrano-Saiz et al., 2017"
glutamate,VGluT,vglu-2 53,Reporter transgenics (fosmid 3 ),"AIA , skin cells","Serrano-Saiz et al., 2020"
glutamate,Plasma Membrane Glutamate Transporter (PmGluT),glt-1 54,Reporter transgenics,"Muscle , hypodermis","Mano et al., 2007"
glutamate,PmGluT,glt-3,Reporter transgenics,"Excretory canal cell , pharynx","Mano et al., 2007"
glutamate,PmGluT,glt-4 55,Reporter transgenics,"AUA , RIA , IL2","Mano et al., 2007"
glutamate,PmGluT,glt-5,Reporter transgenics,Pharynx,"Mano et al., 2007"
glutamate,PmGluT,glt-6,Reporter transgenics,"Excretory canal cell , pharynx marginal cells","Reported 27 in Mano et al., 2007"
glutamate,PmGluT,glt-7,Reporter transgenics,Excretory canal cell,"Mano et al., 2007"
